Time,Upper_Arm_Length,Upper_Arm_Phi,Upper_Arm_Theta,Forearm_Arm_Length,Forearm_Phi,Forearm_Theta,Hand_Arm_Length,Hand_Phi,Hand_Theta,Time_Indices
0,2,88.5438604429321,175.782199271933,1.5,88.5438604429321,175.782199271933,0.5,88.5438604429321,175.782199271933,1
0.100000143051147,2,88.4852051740723,176.04441023417,1.5,88.4852051740723,176.04441023417,0.5,88.4852051740723,176.04441023417,2
0.200000047683716,2,88.512222994812,176.154458242077,1.5,88.512222994812,176.154458242077,0.5,88.512222994812,176.154458242077,3
0.299999952316284,2,88.7782015409546,176.17706616823,1.5,88.7782015409546,176.17706616823,0.5,88.7782015409546,176.17706616823,4
0.400000095367432,2,88.5549195509033,179.167445930267,1.5,88.5549195509033,179.167445930267,0.5,88.5549195509033,179.167445930267,5
0.5,2,88.4317294874268,-172.553077077648,1.5,88.4317294874268,-172.553077077648,0.5,88.4317294874268,-172.553077077648,6
0.600000143051147,2,88.8068992261963,-157.509093657075,1.5,88.8068992261963,-157.509093657075,0.5,88.8068992261963,-157.509093657075,7
0.700000047683716,2,88.7346650526123,-132.696956176143,1.5,88.7346650526123,-132.696956176143,0.5,88.7346650526123,-132.696956176143,8
0.799999952316284,2,88.3362571882324,-103.967063168426,1.5,88.3362571882324,-103.967063168426,0.5,88.3362571882324,-103.967063168426,9
0.900000095367432,2,84.9094735929566,-59.9809317814894,1.5,84.9094735929566,-59.9809317814894,0.5,84.9094735929566,-59.9809317814894,10
1,2,89.3651741956787,-49.8965502078429,1.5,89.3651741956787,-49.8965502078429,0.5,89.3651741956787,-49.8965502078429,11
1.10000014305115,2,92.9785627393799,-27.0694774355808,1.5,92.9785627393799,-27.0694774355808,0.5,92.9785627393799,-27.0694774355808,12
1.20000004768372,2,94.1477484327393,-4.34779234777794,1.5,94.1477484327393,-4.34779234777794,0.5,94.1477484327393,-4.34779234777794,13
1.29999995231628,2,105.236534010132,24.3871528654901,1.5,105.236534010132,24.3871528654901,0.5,105.236534010132,24.3871528654901,14
1.7020001411438,2,88.6251938825684,53.9830523882615,1.5,88.6251938825684,53.9830523882615,0.5,88.6251938825684,53.9830523882615,15
1.80200004577637,2,97.8881067350464,79.8633187572622,1.5,97.8881067350464,79.8633187572622,0.5,97.8881067350464,79.8633187572622,16
1.90199995040894,2,93.9646432020264,101.866793659026,1.5,93.9646432020264,101.866793659026,0.5,93.9646432020264,101.866793659026,17
2.00200009346008,2,100.351068072327,119.507956511497,1.5,100.351068072327,119.507956511497,0.5,100.351068072327,119.507956511497,18
2.10199999809265,2,100.785173057373,134.92686267599,1.5,100.785173057373,134.92686267599,0.5,100.785173057373,134.92686267599,19
2.2020001411438,2,97.2447186307983,156.101487291784,1.5,97.2447186307983,156.101487291784,0.5,97.2447186307983,156.101487291784,20
2.30200004577637,2,94.1571276762085,176.881914369819,1.5,94.1571276762085,176.881914369819,0.5,94.1571276762085,176.881914369819,21
2.40199995040894,2,92.9873820280151,-167.353103798356,1.5,92.9873820280151,-167.353103798356,0.5,92.9873820280151,-167.353103798356,22
2.50200009346008,2,92.2670001340942,-150.620957162144,1.5,92.2670001340942,-150.620957162144,0.5,92.2670001340942,-150.620957162144,23
2.60199999809265,2,97.1597454847412,-132.266217126325,1.5,97.1597454847412,-132.266217126325,0.5,97.1597454847412,-132.266217126325,24
2.7020001411438,2,96.7319399915772,-117.964934815721,1.5,96.7319399915772,-117.964934815721,0.5,96.7319399915772,-117.964934815721,25
2.80200004577637,2,94.4169467191773,-104.381601009533,1.5,94.4169467191773,-104.381601009533,0.5,94.4169467191773,-104.381601009533,26
2.90199995040894,2,93.4193871824341,-89.4812906181507,1.5,93.4193871824341,-89.4812906181507,0.5,93.4193871824341,-89.4812906181507,27
3.00200009346008,2,99.0976091764527,-78.0672112319807,1.5,99.0976091764527,-78.0672112319807,0.5,99.0976091764527,-78.0672112319807,28
3.10199999809265,2,93.3337140928345,-63.0649329464794,1.5,93.3337140928345,-63.0649329464794,0.5,93.3337140928345,-63.0649329464794,29
3.2020001411438,2,91.109993458374,-42.7851723949845,1.5,91.109993458374,-42.7851723949845,0.5,91.109993458374,-42.7851723949845,30
3.30200004577637,2,95.6880441923218,-24.6495601956655,1.5,95.6880441923218,-24.6495601956655,0.5,95.6880441923218,-24.6495601956655,31
3.40199995040894,2,91.50504159375,-9.52219126438374,1.5,91.50504159375,-9.52219126438374,0.5,91.50504159375,-9.52219126438374,32
3.50200009346008,2,90.1132738538819,9.93533233180489,1.5,90.1132738538819,9.93533233180489,0.5,90.1132738538819,9.93533233180489,33
3.60199999809265,2,98.3658881971436,34.9973189863496,1.5,98.3658881971436,34.9973189863496,0.5,98.3658881971436,34.9973189863496,34
3.7020001411438,2,96.7432790769653,55.4492276256856,1.5,96.7432790769653,55.4492276256856,0.5,96.7432790769653,55.4492276256856,35
3.80200004577637,2,91.273360281189,76.6096147121541,1.5,91.273360281189,76.6096147121541,0.5,91.273360281189,76.6096147121541,36
3.90199995040894,2,93.476362586792,102.345412334925,1.5,93.476362586792,102.345412334925,0.5,93.476362586792,102.345412334925,37
4.00200009346008,2,100.893244340332,126.616407588296,1.5,100.893244340332,126.616407588296,0.5,100.893244340332,126.616407588296,38
4.10199999809265,2,93.961703439148,144.217859720932,1.5,93.961703439148,144.217859720932,0.5,93.961703439148,144.217859720932,39
4.2020001411438,2,94.2492402463989,156.530955926416,1.5,94.2492402463989,156.530955926416,0.5,94.2492402463989,156.530955926416,40
