Time,Upper_Arm_Length,Upper_Arm_Phi,Upper_Arm_Theta,Forearm_Arm_Length,Forearm_Phi,Forearm_Theta,Hand_Arm_Length,Hand_Phi,Hand_Theta
0,2,88.8549153532105,-48.2017685388984,1.5,88.8549153532105,-48.2017685388984,0.5,88.8549153532105,-48.2017685388984
0.0989999771118164,2,88.5055035368042,-49.9196977189401,1.5,88.5055035368042,-49.9196977189401,0.5,88.5055035368042,-49.9196977189401
0.199000120162964,2,88.6146947294312,-51.7157335272353,1.5,88.6146947294312,-51.7157335272353,0.5,88.6146947294312,-51.7157335272353
0.299999952316284,2,88.5055035368042,-52.4046673880579,1.5,88.5055035368042,-52.4046673880579,0.5,88.5055035368042,-52.4046673880579
0.400000095367432,2,88.6802094450073,-52.7505549978165,1.5,88.6802094450073,-52.7505549978165,0.5,88.6802094450073,-52.7505549978165
0.500999927520752,2,88.5928564909058,-53.0649588505959,1.5,88.5928564909058,-53.0649588505959,0.5,88.5928564909058,-53.0649588505959
0.601000070571899,2,88.2871211515503,-53.9398104606262,1.5,88.2871211515503,-53.9398104606262,0.5,88.2871211515503,-53.9398104606262
0.700999975204468,2,88.439988821228,-54.309207581508,1.5,88.439988821228,-54.309207581508,0.5,88.439988821228,-54.309207581508
0.801000118255615,2,89.0296212614136,-54.5693865624667,1.5,89.0296212614136,-54.5693865624667,0.5,89.0296212614136,-54.5693865624667
0.901999950408936,2,88.3963123441773,-54.9413996458006,1.5,88.3963123441773,-54.9413996458006,0.5,88.3963123441773,-54.9413996458006
1,2,88.6365329679566,-55.5605836148189,1.5,88.6365329679566,-55.5605836148189,0.5,88.6365329679566,-55.5605836148189
1.10000014305115,2,88.5928564909058,-55.4697352686686,1.5,88.5928564909058,-55.4697352686686,0.5,88.5928564909058,-55.4697352686686
1.20000004768372,2,88.549180013855,-55.8386064649843,1.5,88.549180013855,-55.8386064649843,0.5,88.549180013855,-55.8386064649843
1.29999995231628,2,88.1779299589233,-55.8442140502929,1.5,88.1779299589233,-55.8442140502929,0.5,88.1779299589233,-55.8442140502929
1.40000009536743,2,88.4836652982788,-55.9630525116619,1.5,88.4836652982788,-55.9630525116619,0.5,88.4836652982788,-55.9630525116619
1.50099992752075,2,88.6146947294312,-56.8218019507239,1.5,88.6146947294312,-56.8218019507239,0.5,88.6146947294312,-56.8218019507239
1.6010000705719,2,88.439988821228,-57.0964916685743,1.5,88.439988821228,-57.0964916685743,0.5,88.439988821228,-57.0964916685743
1.70099997520447,2,88.7238859220581,-57.1812952973092,1.5,88.7238859220581,-57.1812952973092,0.5,88.7238859220581,-57.1812952973092
1.80100011825562,2,88.5273417753296,-57.2817161535813,1.5,88.5273417753296,-57.2817161535813,0.5,88.5273417753296,-57.2817161535813
1.90100002288818,2,88.5273417753296,-57.3621484612473,1.5,88.5273417753296,-57.3621484612473,0.5,88.5273417753296,-57.3621484612473
2.00099992752075,2,88.7675623991089,-58.1737115384283,1.5,88.7675623991089,-58.1737115384283,0.5,88.7675623991089,-58.1737115384283
2.10199999809265,2,88.6365329679566,-57.8036723797645,1.5,88.6365329679566,-57.8036723797645,0.5,88.6365329679566,-57.8036723797645
2.2020001411438,2,88.7675623991089,-57.6455944816137,1.5,88.7675623991089,-57.6455944816137,0.5,88.7675623991089,-57.6455944816137
2.30200004577637,2,88.7020476835327,-58.1517524802467,1.5,88.7020476835327,-58.1517524802467,0.5,88.7020476835327,-58.1517524802467
2.40300011634827,2,88.8767535917358,-58.4382379347937,1.5,88.8767535917358,-58.4382379347937,0.5,88.8767535917358,-58.4382379347937
2.50300002098083,2,88.7238859220581,-58.2536930536091,1.5,88.7238859220581,-58.2536930536091,0.5,88.7238859220581,-58.2536930536091
2.6029999256134,2,88.7457241605835,-57.9471200127131,1.5,88.7457241605835,-57.9471200127131,0.5,88.7457241605835,-57.9471200127131
2.7039999961853,2,88.4836652982788,-57.8501449868772,1.5,88.4836652982788,-57.8501449868772,0.5,88.4836652982788,-57.8501449868772
2.80400013923645,2,88.6583712064819,-57.8635594784071,1.5,88.6583712064819,-57.8635594784071,0.5,88.6583712064819,-57.8635594784071
2.9060001373291,2,88.4181505827027,-57.940849899055,1.5,88.4181505827027,-57.940849899055,0.5,88.4181505827027,-57.940849899055
3.00399994850159,2,88.439988821228,-58.0028543563404,1.5,88.439988821228,-58.0028543563404,0.5,88.439988821228,-58.0028543563404
3.10400009155273,2,88.6583712064819,-57.959974428731,1.5,88.6583712064819,-57.959974428731,0.5,88.6583712064819,-57.959974428731
3.2039999961853,2,88.6146947294312,-58.0328866981209,1.5,88.6146947294312,-58.0328866981209,0.5,88.6146947294312,-58.0328866981209
3.3050000667572,2,88.5055035368042,-58.0859094566477,1.5,88.5055035368042,-58.0859094566477,0.5,88.5055035368042,-58.0859094566477
3.40499997138977,2,88.7238859220581,-58.0445526612233,1.5,88.7238859220581,-58.0445526612233,0.5,88.7238859220581,-58.0445526612233
3.50500011444092,2,88.7675623991089,-58.021398319937,1.5,88.7675623991089,-58.021398319937,0.5,88.7675623991089,-58.021398319937
3.60700011253357,2,88.5710182523804,-58.025858433465,1.5,88.5710182523804,-58.025858433465,0.5,88.5710182523804,-58.025858433465
3.70600008964539,2,88.3744741056519,-58.0044936017412,1.5,88.3744741056519,-58.0044936017412,0.5,88.3744741056519,-58.0044936017412
3.80599999427795,2,88.6365329679566,-57.8976148016088,1.5,88.6365329679566,-57.8976148016088,0.5,88.6365329679566,-57.8976148016088
