Row,Upper_Arm_Phi,Upper_Arm_Theta,Forearm_Phi,Forearm_Theta,Hand_Phi,Hand_Theta
Max,3.12429964339022,3.03365182876587,3.12429964339022,3.03365182876587,3.03365182876587,3.03365182876587
Time Index # at which Max occurred,4,77,4,77,77,77
Min,1.30336195037005,0.0267731752246618,1.30336195037005,0.0267731752246618,0.0267731752246618,0.0267731752246618
Time Index # at which Min occurred,81,50,81,50,50,50
